Sample ID,Lineage,Calls Made,Possible Calls,Total support
ERR3596755,TEN.1.1,1,207,0.48
ERR3596755,TPE,595,721,82.52
ERR3596755,TPA.2.7,0,87,0.0
ERR3596755,TPE.3.1,1,31,3.23
ERR3596755,TPA.2,0,41,0.0
ERR3596755,TPA.1.6,0,34,0.0
ERR3596755,TPE.2.5,0,37,0.0
ERR3596755,TPE.1.3,73,88,82.95
ERR3596755,TPE.1.1,0,28,0.0
ERR3596755,TPA.2.5,0,36,0.0
ERR3596755,TPE.1.2,0,34,0.0
ERR3596755,TPE.2.3,3,115,2.61
ERR3596755,TPA.2.3,0,12,0.0
ERR3596755,TPA.2.6,0,29,0.0
ERR3596755,TPA.1.5,0,3,0.0
ERR3596755,TPE.3,48,52,92.31
ERR3596755,TPE.2.1,0,28,0.0
ERR3596755,TPA.2.4,0,9,0.0
ERR3596755,TPA.2.9,0,8,0.0
ERR3596755,TPA.1.4,0,7,0.0
ERR3596755,TPE.2.2,0,10,0.0
ERR3596755,TPE.2.4,0,21,0.0
ERR3596755,TPE.2,1,3,33.33
ERR3596755,TPA.1.3,0,2,0.0
ERR3596755,TPA.1.2,0,2,0.0
ERR3596755,TPA.2.2,0,11,0.0
ERR3596755,TPA.1.8,0,9,0.0
ERR3596755,TPA.2.1,0,13,0.0
ERR3596755,TPE.1,1,1,100.0
ERR3596755,TPA.1.7,0,1,0.0
ERR3596755,TPA.1.1,0,1,0.0
ERR2756202,TEN.1.1,1,207,0.48
ERR2756202,TPE,4,721,0.55
ERR2756202,TPA.2.7,0,87,0.0
ERR2756202,TPE.3.1,0,31,0.0
ERR2756202,TPA.2,0,41,0.0
ERR2756202,TPA.1.6,0,34,0.0
ERR2756202,TPE.2.5,0,37,0.0
ERR2756202,TPE.1.3,1,88,1.14
ERR2756202,TPE.1.1,0,28,0.0
ERR2756202,TPA.2.5,0,36,0.0
ERR2756202,TPE.1.2,0,34,0.0
ERR2756202,TPE.2.3,1,115,0.87
ERR2756202,TPA.2.3,0,12,0.0
ERR2756202,TPA.2.6,0,29,0.0
ERR2756202,TPA.1.5,0,3,0.0
ERR2756202,TPE.3,0,52,0.0
ERR2756202,TPE.2.1,0,28,0.0
ERR2756202,TPA.2.4,0,9,0.0
ERR2756202,TPA.2.9,0,8,0.0
ERR2756202,TPA.1.4,0,7,0.0
ERR2756202,TPE.2.2,0,10,0.0
ERR2756202,TPE.2.4,0,21,0.0
ERR2756202,TPE.2,0,3,0.0
ERR2756202,TPA.1.3,0,2,0.0
ERR2756202,TPA.1.2,0,2,0.0
ERR2756202,TPA.2.2,0,11,0.0
ERR2756202,TPA.1.8,0,9,0.0
ERR2756202,TPA.2.1,0,13,0.0
ERR2756202,TPE.1,0,1,0.0
ERR2756202,TPA.1.7,1,1,100.0
ERR2756202,TPA.1.1,0,1,0.0
SRR29022040,TEN.1.1,0,207,0.0
SRR29022040,TPE,2,721,0.28
SRR29022040,TPA.2.7,0,87,0.0
SRR29022040,TPE.3.1,0,31,0.0
SRR29022040,TPA.2,34,41,82.93
SRR29022040,TPA.1.6,0,34,0.0
SRR29022040,TPE.2.5,1,37,2.7
SRR29022040,TPE.1.3,0,88,0.0
SRR29022040,TPE.1.1,0,28,0.0
SRR29022040,TPA.2.5,0,36,0.0
SRR29022040,TPE.1.2,0,34,0.0
SRR29022040,TPE.2.3,0,115,0.0
SRR29022040,TPA.2.3,12,12,100.0
SRR29022040,TPA.2.6,0,29,0.0
SRR29022040,TPA.1.5,0,3,0.0
SRR29022040,TPE.3,48,52,92.31
SRR29022040,TPE.2.1,0,28,0.0
SRR29022040,TPA.2.4,0,9,0.0
SRR29022040,TPA.2.9,1,8,12.5
SRR29022040,TPA.1.4,0,7,0.0
SRR29022040,TPE.2.2,0,10,0.0
SRR29022040,TPE.2.4,0,21,0.0
SRR29022040,TPE.2,0,3,0.0
SRR29022040,TPA.1.3,0,2,0.0
SRR29022040,TPA.1.2,0,2,0.0
SRR29022040,TPA.2.2,0,11,0.0
SRR29022040,TPA.1.8,0,9,0.0
SRR29022040,TPA.2.1,0,13,0.0
SRR29022040,TPE.1,1,1,100.0
SRR29022040,TPA.1.7,0,1,0.0
SRR29022040,TPA.1.1,0,1,0.0
ERR4853572,TEN.1.1,1,207,0.48
ERR4853572,TPE,5,721,0.69
ERR4853572,TPA.2.7,0,87,0.0
